City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Gornopravdinsk,RU,60.05,69.9,31.42,92,36,4.68,scattered clouds
232,Axim,GH,4.8699,-2.2405,76.06,90,100,5.64,moderate rain
233,Saldanha,ZA,-33.0117,17.9442,48.25,78,0,11.92,clear sky
234,Moose Factory,CA,51.2585,-80.6094,48.2,81,90,6.91,overcast clouds
235,Funadhoo,MV,6.15,73.2667,79.18,80,100,19.37,overcast clouds
236,Labuan,MY,5.2767,115.2417,79.16,88,40,1.01,scattered clouds
237,Bodden Town,KY,19.2833,-81.25,86.0,79,40,1.99,scattered clouds
238,Santa Maria,BR,-29.6842,-53.8069,65.5,100,0,1.14,fog
239,Temascalcingo,MX,19.9167,-100.0,58.42,95,100,4.29,overcast clouds
240,Provideniya,RU,64.3833,-173.3,33.91,69,75,11.18,broken clouds
241,Sterling,US,39.0062,-77.4286,73.38,68,20,8.01,few clouds
242,Dustlik,UZ,40.5247,68.0358,55.42,59,0,1.25,clear sky
243,Turayf,SA,31.6725,38.6637,68.25,77,0,9.22,clear sky
244,Acapulco,MX,16.8634,-99.8901,79.77,84,99,9.1,overcast clouds
245,Monticello,US,45.3055,-93.7941,71.94,60,1,0.0,clear sky
246,Khuzdar,PK,27.7384,66.6434,76.41,52,0,2.53,clear sky
247,Tual,ID,-5.6667,132.75,81.05,82,60,13.96,broken clouds
248,Jalu,LY,29.0331,21.5482,70.34,64,0,8.48,clear sky
249,Neiafu,TO,-18.65,-173.9833,77.68,83,40,8.05,scattered clouds
250,Alice Springs,AU,-23.7,133.8833,81.95,15,75,8.05,broken clouds
251,Montrose,US,38.4166,-108.2673,67.41,44,99,4.63,overcast clouds
252,Sorland,NO,67.667,12.6934,52.57,84,8,18.28,clear sky
253,Bubaque,GW,11.2833,-15.8333,82.71,77,100,12.3,light rain
254,Tiarei,PF,-17.5333,-149.3333,84.22,73,17,15.95,few clouds
255,Pisco,PE,-13.7,-76.2167,62.65,77,0,12.66,clear sky
256,Penzance,GB,50.1186,-5.5371,57.88,79,100,21.12,overcast clouds
257,Siderno,IT,38.2779,16.302,79.39,65,100,6.73,overcast clouds
258,Vardo,NO,70.3705,31.1107,48.67,89,93,16.87,overcast clouds
259,Coquimbo,CL,-29.9533,-71.3436,55.13,94,0,6.91,clear sky
260,Portland,US,45.5234,-122.6762,61.39,92,75,4.0,light rain
261,Bom Jardim,BR,-7.7958,-35.5872,69.26,94,82,8.46,broken clouds
262,Aromashevo,RU,56.8602,68.6375,39.96,60,100,10.45,overcast clouds
263,Keskin,TR,39.6731,33.6136,53.08,57,0,4.88,clear sky
264,Lodja,CD,-3.4833,23.4333,68.86,99,84,1.14,light rain
265,Daru,PG,-9.0763,143.2092,81.23,75,85,14.54,overcast clouds
266,Olafsvik,IS,64.8945,-23.7142,38.73,82,86,15.46,overcast clouds
267,Saint-Raymond,CA,45.467,-73.6095,60.15,90,75,2.3,broken clouds
268,Scottsbluff,US,41.8666,-103.6672,88.92,22,1,5.75,clear sky
269,Merke,KZ,42.8728,73.1786,54.81,55,3,2.35,clear sky
270,Yomou,GN,7.5603,-9.2653,69.13,98,100,1.77,overcast clouds
271,Aklavik,CA,68.2191,-135.0107,38.12,86,26,6.15,scattered clouds
272,Dukat,RU,62.55,155.55,25.84,78,100,4.65,overcast clouds
273,Coruripe,BR,-10.1256,-36.1756,74.35,82,100,10.18,overcast clouds
274,Cidreira,BR,-30.1811,-50.2056,66.38,92,1,14.27,clear sky
275,Buckeye,US,33.3703,-112.5838,87.13,41,9,0.0,haze
276,Labuhan,ID,-6.8844,112.2051,81.95,66,79,8.3,broken clouds
277,Basco,PH,20.4487,121.9702,84.07,74,8,11.95,clear sky
278,Ponta Do Sol,PT,32.6667,-17.1,72.23,70,50,3.62,scattered clouds
279,Avera,US,33.194,-82.5271,72.72,61,0,5.39,clear sky
280,Romny,UA,50.751,33.4747,41.41,96,10,6.96,clear sky
281,Klyuchi,RU,52.2667,79.1667,36.68,71,100,9.04,overcast clouds
282,Balkhash,KZ,46.844,74.9804,53.01,66,0,8.61,clear sky
283,Stovring,DK,56.8854,9.8384,56.98,96,100,9.37,overcast clouds
284,Yerbogachen,RU,61.2767,108.0108,35.08,82,100,12.39,overcast clouds
285,Nortelandia,BR,-14.4547,-56.8028,81.41,48,3,3.22,clear sky
286,Baruun-Urt,MN,46.6806,113.2792,45.68,55,0,13.76,clear sky
287,Cerritos,US,33.8583,-118.0648,74.68,75,90,4.0,overcast clouds
288,Nsanje,MW,-16.92,35.262,74.23,61,12,3.74,few clouds
289,Vanavara,RU,60.34,102.2797,33.62,88,100,9.71,overcast clouds
290,Koungou,YT,-12.7336,45.2042,73.11,94,0,5.75,clear sky
291,Arinos,BR,-15.9169,-46.1056,80.55,33,68,3.89,broken clouds
292,Banjar,ID,-8.19,114.9675,80.46,68,42,5.44,scattered clouds
293,Sisimiut,GL,66.9395,-53.6735,29.48,45,0,12.57,clear sky
294,Saint Anthony,US,45.0205,-93.218,70.83,56,1,3.44,clear sky
295,Sur,OM,22.5667,59.5289,83.93,62,100,6.87,overcast clouds
296,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,83,90,13.8,overcast clouds
297,Xining,CN,36.6167,101.7667,53.85,59,0,1.77,clear sky
298,Kampene,CD,-3.6,26.6667,66.24,97,99,0.63,light rain
299,Tautira,PF,-17.7333,-149.15,84.22,75,26,14.2,scattered clouds
300,Doembang Nangbuat,TH,14.8333,100.1,79.18,87,93,4.5,overcast clouds
301,Markala,ML,13.7021,-6.0659,81.88,56,0,7.63,clear sky
302,Onufriyivka,UA,48.9072,33.4487,45.45,89,8,5.57,clear sky
303,Tigzirt,DZ,36.8886,4.1198,70.65,80,90,3.87,overcast clouds
304,Plainview,US,40.7765,-73.4673,74.88,70,1,1.99,clear sky
305,Berlevag,NO,70.8578,29.0864,51.31,80,98,14.34,overcast clouds
306,Arrecife,ES,28.963,-13.5477,73.47,83,20,11.5,few clouds
307,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,5.75,few clouds
308,Yima,CN,34.7381,111.8839,62.62,98,100,1.39,moderate rain
309,Poshekhonye,RU,58.4993,39.1353,41.97,90,94,7.25,overcast clouds
310,Ilukste,LV,55.9775,26.2966,49.37,67,100,3.83,overcast clouds
311,Sitka,US,57.0531,-135.33,49.89,81,90,12.66,moderate rain
312,Talcahuano,CL,-36.7167,-73.1167,56.88,67,0,4.61,clear sky
313,Kudahuvadhoo,MV,2.6708,72.8944,82.49,77,100,16.26,overcast clouds
314,Abha,SA,18.2164,42.5053,62.42,23,0,4.61,clear sky
315,Batagay,RU,67.6333,134.6333,33.08,78,88,4.18,overcast clouds
316,Tawau,MY,4.2498,117.8871,82.53,88,54,1.83,broken clouds
317,Tuatapere,NZ,-46.1333,167.6833,55.81,56,92,5.46,overcast clouds
318,Magnitogorsk,RU,53.4186,59.0472,32.83,100,90,17.9,light snow
319,Tarakan,ID,3.3,117.6333,78.3,89,40,3.44,scattered clouds
320,Winslow,US,35.0242,-110.6974,68.97,54,90,3.44,overcast clouds
321,Quiindy,PY,-25.9667,-57.2667,87.04,32,96,5.32,overcast clouds
322,Zalantun,CN,48.0,122.7167,55.8,65,100,12.55,overcast clouds
323,Narsaq,GL,60.9167,-46.05,30.54,44,0,2.59,clear sky
324,Sheltozero,RU,61.3667,35.3667,45.77,88,24,4.34,few clouds
325,Sohag,EG,26.557,31.6948,73.36,41,0,6.93,clear sky
326,Akalgarh,IN,29.8167,75.8833,79.57,74,80,5.64,broken clouds
327,Ayorou,NE,14.7308,0.9174,91.53,15,2,8.25,clear sky
328,Namatanai,PG,-3.6667,152.4333,85.46,67,78,5.06,broken clouds
329,Kuito,AO,-12.3833,16.9333,58.91,61,43,3.67,scattered clouds
330,Zabol,AF,32.25,67.25,62.1,31,0,7.61,clear sky
331,Flic En Flac,MU,-20.2742,57.3631,70.52,72,53,12.95,broken clouds
332,Juba,SS,4.8517,31.5825,69.1,92,100,1.14,overcast clouds
333,Montepuez,MZ,-13.1256,38.9997,65.01,88,7,3.06,clear sky
334,Clarence Town,AU,-32.5833,151.7833,73.15,42,10,2.53,clear sky
335,Ayacucho,PE,-13.1583,-74.2239,60.42,67,24,5.84,few clouds
336,Turukhansk,RU,65.8167,87.9833,32.68,73,97,7.05,overcast clouds
337,Yantal,RU,56.8471,105.2542,33.62,93,100,7.31,light rain
338,Joao Camara,BR,-5.5375,-35.8197,76.24,86,41,13.2,scattered clouds
339,Chipinge,ZW,-20.1883,32.6236,61.81,63,30,4.14,scattered clouds
340,Borgarnes,IS,64.5383,-21.9206,37.96,69,71,5.59,broken clouds
341,Storozhevaya,RU,43.8789,41.4514,46.17,93,84,1.39,broken clouds
342,Anadyr,RU,64.75,177.4833,36.1,87,90,8.95,light rain
343,Ambilobe,MG,-13.2,49.05,74.25,63,99,5.21,overcast clouds
344,Champasak,LA,14.75,106.0,77.88,87,33,2.01,scattered clouds
345,Chitungwiza,ZW,-18.0127,31.0756,63.45,57,65,7.9,broken clouds
346,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,75.33,83,22,2.08,few clouds
347,Kloulklubed,PW,7.0419,134.2556,86.5,72,39,7.0,scattered clouds
348,Champerico,GT,14.3,-91.9167,83.35,83,100,8.86,overcast clouds
349,Flin Flon,CA,54.7682,-101.865,56.16,69,0,6.17,clear sky
350,Whitehorse,CA,60.7161,-135.0538,33.1,100,90,5.01,snow
351,Port Shepstone,ZA,-30.7414,30.455,68.86,76,79,19.82,broken clouds
352,Ust-Maya,RU,60.4167,134.5333,39.49,91,100,7.94,light rain
353,Doka,SD,13.5167,35.7667,72.28,79,20,4.14,few clouds
354,Coihaique,CL,-45.5752,-72.0662,42.75,70,75,3.44,broken clouds
355,Saint George,US,37.1041,-113.5841,90.07,28,1,5.01,clear sky
356,Sao Filipe,CV,14.8961,-24.4956,79.54,79,13,5.37,few clouds
357,Dakar,SN,14.6937,-17.4441,82.53,94,40,0.0,scattered clouds
358,Tezu,IN,27.9167,96.1667,76.41,85,64,2.75,broken clouds
359,Ekibastuz,KZ,51.6667,75.3667,37.27,90,100,13.27,overcast clouds
360,Tanggu,CN,39.0211,117.6469,69.76,79,100,2.77,overcast clouds
361,Pochutla,MX,15.7432,-96.4661,82.81,85,100,3.71,overcast clouds
362,Bilibino,RU,68.0546,166.4372,20.23,89,100,10.18,light snow
363,Cherskiy,RU,68.75,161.3,22.95,95,100,17.49,light snow
364,Kokopo,PG,-4.352,152.2633,84.06,68,26,4.18,scattered clouds
365,Tabou,CI,4.423,-7.3528,75.27,92,98,6.89,overcast clouds
366,Sambava,MG,-14.2667,50.1667,69.44,84,71,10.18,light rain
367,Caravelas,BR,-17.7125,-39.2481,72.3,84,14,6.02,few clouds
368,Bad Krozingen,DE,47.9167,7.7,61.41,92,100,1.99,overcast clouds
369,Sibolga,ID,1.7427,98.7792,77.49,79,94,1.83,overcast clouds
370,Tahta,EG,26.7693,31.5021,73.63,40,0,6.91,clear sky
371,Fort Nelson,CA,58.8053,-122.7002,40.59,100,90,4.61,light intensity drizzle
372,Rio Grande,BR,-32.035,-52.0986,63.95,96,32,7.02,scattered clouds
373,Rio Claro,BR,-22.4114,-47.5614,75.02,45,1,6.71,clear sky
374,Nouadhibou,MR,20.931,-17.0347,75.18,73,3,2.3,clear sky
375,Urengoy,RU,65.9667,78.3667,30.45,80,73,5.88,broken clouds
376,Lakes Entrance,AU,-37.8811,147.981,64.17,47,6,4.54,clear sky
377,Rincon,US,32.296,-81.2354,77.86,82,1,5.75,clear sky
378,Rumuruti,KE,0.267,36.5389,58.1,72,98,4.61,overcast clouds
379,Ames,US,42.0347,-93.6199,82.42,43,1,5.75,clear sky
380,Airai,TL,-8.9266,125.4092,77.05,33,16,3.11,few clouds
381,Ornskoldsvik,SE,63.2909,18.7153,51.62,100,40,5.75,scattered clouds
382,Loreto,MX,22.2667,-101.9667,70.11,55,100,1.99,overcast clouds
383,Urubicha,BO,-15.3833,-62.95,83.25,45,89,3.44,overcast clouds
384,Skjervoy,NO,70.0311,20.9714,51.82,76,100,13.98,overcast clouds
385,The Valley,AI,18.217,-63.0578,83.1,67,0,12.28,clear sky
386,Scottsboro,US,34.6723,-86.0341,72.16,100,75,0.0,broken clouds
387,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,77.56,79,40,0.27,scattered clouds
388,Hambantota,LK,6.1241,81.1185,77.34,88,40,3.44,scattered clouds
389,Novyy Urengoy,RU,66.0833,76.6333,32.36,73,68,3.85,broken clouds
390,Sept-Iles,CA,50.2001,-66.3821,54.25,87,75,1.01,broken clouds
391,Singkang,MY,2.1006,102.7994,75.09,86,92,1.95,overcast clouds
392,Homburg,DE,49.3167,7.3333,55.35,80,20,9.22,few clouds
393,Katherine,AU,-14.4667,132.2667,88.12,55,99,6.91,overcast clouds
394,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,27.63,93,12,5.48,few clouds
395,Kulhudhuffushi,MV,6.6221,73.07,80.83,76,100,19.93,overcast clouds
396,Jumla,NP,29.2747,82.1838,58.41,88,18,2.93,few clouds
397,Kuryk,KZ,43.2,51.65,61.92,58,22,10.51,few clouds
