City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
587,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
588,Kavaratti,IN,81.43,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
591,Sulangan,PH,83.5,overcast clouds,11.1373,123.7228,Maia's Beach Resort
592,Simpang,ID,80.2,overcast clouds,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
597,Sinnamary,GF,79.95,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
598,Yendi,GH,75.36,overcast clouds,9.4427,-0.0099,Eyarro Lodge
599,Shintomi,JP,76.32,overcast clouds,32.0785,131.4723,ホテルスイート
600,Pierre,US,85.12,clear sky,44.3683,-100.351,Ramkota Hotel
609,Bacolod,PH,83.07,overcast clouds,10.6667,122.95,Planta Hotel & Residences
615,Tucuman,AR,75.2,few clouds,-26.8241,-65.2226,HOTEL MIAMI
616,Savannah Bight,HN,84.25,few clouds,16.45,-85.85,Villa on Dunbar Rock
617,Pineville,US,82.29,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
620,Pekalongan,ID,84.02,overcast clouds,-6.8886,109.6753,Namira Syariah Hotel
622,Martapura,ID,78.89,few clouds,-3.4167,114.85,Montana Hotel Syariah
623,Ghorawal,IN,76.08,few clouds,24.7667,82.7833,Abbas Ujjwal Tent House
625,Gondanglegi,ID,81.93,broken clouds,-7.7479,112.0132,Ndoll Gondanglegi
626,Mitsamiouli,KM,76.64,clear sky,-11.3847,43.2844,Foyer ADM
628,Lubao,PH,86.14,broken clouds,14.9167,120.55,Hacienda Gracia
630,Bull Savanna,JM,78.67,scattered clouds,17.8868,-77.5902,Big Red's
632,Karratha,AU,78.64,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
633,Tevaitoa,PF,79.29,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
639,Balabac,PH,84.54,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
640,Mandera,KE,76.03,few clouds,3.9366,41.867,Kornesh Hotel and Lodging
643,Salalah,OM,80.69,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
645,Les Cayes,HT,78.96,few clouds,18.2,-73.75,Villa Orphee
649,Mana,GF,80.35,few clouds,5.6592,-53.7767,LE SAMANA
654,Buluang,PH,84.18,scattered clouds,13.3068,123.3425,Enon Beach Resort
656,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
658,Fukumitsu,JP,78.1,overcast clouds,36.55,136.8667,TSUBAKI HOUSE
662,Hamilton,US,77.09,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
666,Bonthe,SL,76.1,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
672,Catuday,PH,82.56,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
