City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Turukhansk,RU,2021-09-26 14:25:08,65.8167,87.9833,36.25,84,7,8.12
278,Seoul,KR,2021-09-26 14:20:12,37.5683,126.9778,71.17,60,0,9.22
279,Korla,CN,2021-09-26 14:25:08,41.7597,86.1469,68.25,22,0,6.62
280,Bellefontaine,US,2021-09-26 14:22:50,40.3612,-83.7597,63.25,62,1,5.01
281,Grosse Pointe Park,US,2021-09-26 14:25:09,42.3759,-82.9374,61.25,70,1,1.99
282,Hami,CN,2021-09-26 14:25:09,42.8,93.45,66.49,18,1,7.38
283,Los Llanos De Aridane,ES,2021-09-26 14:25:09,28.6585,-17.9182,74.95,79,40,8.05
284,Batticaloa,LK,2021-09-26 14:25:10,7.7102,81.6924,84.15,72,93,4.81
285,Arraial Do Cabo,BR,2021-09-26 14:25:10,-22.9661,-42.0278,80.56,65,0,13.8
286,Komatipoort,ZA,2021-09-26 14:25:11,-25.4332,31.9548,96.04,15,0,7.63
287,Tygda,RU,2021-09-26 14:25:11,53.1167,126.3333,54.41,83,100,10.76
288,Voyvozh,RU,2021-09-26 14:25:11,62.892,54.9635,40.6,71,100,11.05
289,Innisfail,AU,2021-09-26 14:25:12,-17.5333,146.0333,67.86,88,33,3.36
290,Ilongero,TZ,2021-09-26 14:25:12,-4.6667,34.8667,76.23,34,100,9.4
291,Kiruna,SE,2021-09-26 14:25:13,67.8557,20.2251,45.52,76,90,14.97
292,Vestmannaeyjar,IS,2021-09-26 14:25:13,63.4427,-20.2734,43.79,81,90,8.05
293,Ukiah,US,2021-09-26 14:25:13,39.1502,-123.2078,56.64,85,90,4.61
