City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Opuwo,NA,-18.0607,13.84,63.84,44,14,5.03,few clouds
211,Manzhouli,CN,49.6,117.4333,44.6,63,87,12.8,overcast clouds
212,Caucaia,BR,-3.7361,-38.6531,84.07,81,75,13.8,broken clouds
213,Greenville,US,35.6127,-77.3663,73.29,72,1,0.0,clear sky
214,Abu Samrah,SY,35.3029,37.1841,67.48,66,0,8.86,clear sky
215,Deep River,CA,46.1001,-77.4995,55.15,75,36,8.16,scattered clouds
216,College,US,64.8569,-147.8028,39.15,68,75,0.0,broken clouds
217,Hithadhoo,MV,-0.6,73.0833,82.58,75,100,14.74,overcast clouds
218,Kashi,CN,39.4547,75.9797,67.21,16,0,8.95,clear sky
219,Neulengbach,AT,48.1974,15.9022,62.8,91,72,3.0,broken clouds
220,Dali,CN,25.7,100.1833,59.7,88,42,2.44,scattered clouds
221,Maltahohe,NA,-24.8333,16.9833,63.1,32,5,7.4,clear sky
222,Kurush,RU,41.2841,47.8345,30.09,91,14,4.61,few clouds
223,Lircay,PE,-12.9896,-74.7205,52.88,74,57,5.46,broken clouds
224,Wolgast,DE,54.05,13.7667,60.85,90,100,8.84,overcast clouds
225,Hovd,MN,48.0056,91.6419,29.23,42,85,1.83,overcast clouds
226,Hami,CN,42.8,93.45,62.38,21,1,2.13,clear sky
227,Brae,GB,60.3964,-1.353,51.71,82,71,24.7,broken clouds
228,Qaqortoq,GL,60.7167,-46.0333,33.84,47,0,1.01,clear sky
229,Lazaro Cardenas,MX,17.9583,-102.2,82.27,77,91,3.47,overcast clouds
230,Turukhansk,RU,65.8167,87.9833,32.0,75,63,7.63,broken clouds
231,Yaroslavskiy,RU,44.1683,132.2072,60.12,93,100,8.57,overcast clouds
232,Bud,US,39.447,-86.1758,77.99,65,7,8.37,clear sky
233,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,35,0,11.5,clear sky
234,Terekli-Mekteb,RU,44.1671,45.8698,56.95,56,95,5.61,overcast clouds
235,Palm City,US,27.1678,-80.2662,82.45,67,20,6.91,few clouds
236,Shieli,KZ,44.1667,66.75,58.33,51,0,6.55,clear sky
237,Kushiro,JP,42.975,144.3747,59.95,88,75,2.3,mist
238,Cairneyhill,GB,56.0591,-3.5352,50.79,88,0,4.61,clear sky
239,Mandalgovi,MN,45.7625,106.2708,34.88,70,26,26.22,scattered clouds
240,Panyutyne,UA,48.9333,36.2833,49.51,76,97,7.36,overcast clouds
241,Celle,DE,52.6226,10.0805,60.48,93,75,5.75,broken clouds
242,Deputatskiy,RU,69.3,139.9,23.72,72,53,4.81,broken clouds
243,San Andres,CO,12.5847,-81.7006,84.22,74,75,4.61,broken clouds
244,Riyadh,SA,24.6877,46.7219,71.74,15,33,10.02,scattered clouds
245,Quelimane,MZ,-17.8786,36.8883,73.35,83,0,5.75,clear sky
246,Conde,BR,-7.2597,-34.9075,76.46,83,75,11.5,broken clouds
247,Batticaloa,LK,7.7102,81.6924,81.84,63,97,9.75,overcast clouds
248,Safranbolu,TR,41.2508,32.6942,50.83,92,0,0.72,clear sky
249,Roma,US,43.2128,-75.4557,68.43,86,90,0.0,overcast clouds
250,Sitka,US,57.0531,-135.33,49.89,87,90,12.66,light rain
251,Igdir,TR,39.9237,44.045,51.73,45,0,4.81,clear sky
252,Bolu,TR,40.6667,31.5833,49.21,90,1,2.01,clear sky
253,Husavik,IS,66.0449,-17.3389,33.71,75,84,0.56,broken clouds
254,Eureka,US,40.8021,-124.1637,60.21,95,100,1.99,overcast clouds
255,Chernyy Yar,RU,48.0624,46.1091,47.5,92,10,7.49,clear sky
256,West Wendover,US,40.7391,-114.0733,81.61,13,1,0.0,clear sky
257,Gualaquiza,EC,-3.4,-78.55,62.78,97,49,0.87,light rain
258,Ko Samui,TH,9.5357,99.9357,82.44,69,36,1.12,scattered clouds
